2026-08-21 12:39:50.478116+00|2|152|0|0|0|0|54193|457
2026-08-21 12:39:55.566526+00|3|177|0|0|0|0|60670|507
2026-08-21 12:40:00.649829+00|3|283|0|0|0|0|79940|529
2026-08-21 12:40:05.732476+00|3|382|0|0|0|0|89759|530
2026-08-21 12:40:10.816716+00|3|473|0|0|0|0|98351|530
2026-08-21 12:40:15.897557+00|3|571|0|0|0|0|107599|530
2026-08-21 12:40:20.982264+00|3|670|0|0|0|0|119550|530
2026-08-21 12:40:26.068575+00|3|759|0|0|0|0|129787|530
2026-08-21 12:40:31.153569+00|3|903|0|0|0|0|145481|530
2026-08-21 12:40:36.236749+00|3|1092|0|0|0|0|167438|530
2026-08-21 12:40:41.320147+00|3|1284|0|0|0|0|187276|530
2026-08-21 12:40:46.401637+00|3|1548|0|0|0|0|214439|530
2026-08-21 12:40:51.48377+00|3|1851|0|0|0|0|248608|530
2026-08-21 12:40:56.56813+00|3|2209|0|0|0|0|293470|531
2026-08-21 12:41:01.652403+00|3|2590|0|0|0|0|328200|531
2026-08-21 12:41:06.735369+00|3|2988|0|0|0|0|379480|531
2026-08-21 12:41:11.821433+00|3|3381|0|0|0|0|432419|531
2026-08-21 12:41:16.903638+00|3|3852|0|0|0|0|501752|531
2026-08-21 12:41:21.985794+00|3|4400|0|0|0|0|573993|531
2026-08-21 12:41:27.069658+00|3|4951|0|0|0|0|661114|531
2026-08-21 12:41:32.153182+00|3|5484|0|0|0|0|750888|531
2026-08-21 12:41:37.239966+00|3|6069|0|0|0|0|833641|531
2026-08-21 12:41:42.322278+00|3|6637|0|0|0|0|915555|531
2026-08-21 12:41:47.409602+00|3|7185|0|0|0|0|1007061|531
2026-08-21 12:41:52.494142+00|3|7794|0|0|0|0|1109178|531
2026-08-21 12:41:57.578529+00|3|8396|0|0|0|0|1205864|531
2026-08-21 12:42:02.661383+00|3|8911|0|0|0|0|1281367|531
2026-08-21 12:42:07.744966+00|3|9456|0|0|0|0|1352479|531
2026-08-21 12:42:12.83556+00|3|10030|0|0|0|0|1425744|531
2026-08-21 12:42:17.919919+00|3|10568|0|0|0|0|1506299|531
2026-08-21 12:42:23.005184+00|3|11103|0|0|0|0|1583958|531
2026-08-21 12:42:28.090571+00|3|11665|0|0|0|0|1658748|531
2026-08-21 12:42:33.178117+00|3|12224|0|0|0|0|1742584|531
2026-08-21 12:42:38.264589+00|3|12782|0|0|0|0|1819006|531
2026-08-21 12:42:43.350687+00|3|13288|0|0|0|0|1891828|531
2026-08-21 12:42:48.436185+00|3|13873|0|0|0|0|1987686|531
2026-08-21 12:42:53.521214+00|4|14452|0|0|0|0|2074911|531
2026-08-21 12:42:58.605196+00|3|15046|0|0|0|0|2161026|538
2026-08-21 12:43:03.693419+00|3|15606|0|0|0|0|2247400|538
2026-08-21 12:43:08.77895+00|3|16172|0|0|0|0|2349933|538
2026-08-21 12:43:13.865577+00|3|16692|0|0|0|0|2433718|538
2026-08-21 12:43:18.948252+00|3|17253|0|0|0|0|2519286|538
2026-08-21 12:43:24.034977+00|3|17808|0|0|0|0|2615576|538
2026-08-21 12:43:29.117317+00|3|17936|0|0|0|0|2635118|538
2026-08-21 12:43:34.198799+00|3|17939|0|0|0|0|2635409|538
2026-08-21 12:43:39.280243+00|3|17949|0|0|0|0|2637003|538
2026-08-21 12:43:44.361041+00|3|17952|0|0|0|0|2637294|538
2026-08-21 12:43:49.444276+00|3|17955|0|0|0|0|2637585|538
2026-08-21 12:43:54.525151+00|3|17977|0|0|0|0|2641615|538
2026-08-21 12:43:59.608113+00|3|17980|0|0|0|0|2641906|538
